ID, Date, Amount, Shop, Product, CategoryID, Category, UsersIDs, Users
d5889467-05ba-464f-9be5-3c06f2ddd645, 2024-10-14, 48.180000, AliExpress, Barefoot, d91f9f1b-3bf9-11ef-b15c-7eec274b3815, Clothing, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
fc289b6f-acfb-4763-acb3-dff2dab71ba5, 2024-10-14, 15.090000, AliExpress, Ducha inodoro, d91fa318-3bf9-11ef-b15c-7eec274b3815, Home, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
ed5e0615-6406-411c-9adf-ba11d603defa, 2024-10-14, 2.640000, AliExpress, Power btn, d91fa5dc-3bf9-11ef-b15c-7eec274b3815, Technology, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
e9655b47-9f93-4a52-9de4-a5ddf4bcc966, 2024-10-14, 3.900000, CloudStreet, Dos espresso, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
6efd414c-1129-4945-84e5-81796248c4a5, 2024-10-14, 5.600000, Libreria Llore, Cartuchos parker e impresion, d91fa36c-3bf9-11ef-b15c-7eec274b3815, Paperwork, Anoux, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
80240382-b9ac-4d7f-b9e3-4c04aca297be, 2024-10-13, 18.280000, caprabo, Vinito + papas, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
dcb01626-c0a1-4a0e-9af5-5b2a7c3a31fc, 2024-10-12, 15.990000, Amazon, Funda, d91fa5dc-3bf9-11ef-b15c-7eec274b3815, Technology, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
dec8086f-aebc-4fbd-9581-c2d48b29190c, 2024-10-11, 42.850000, LIDL BCN-LOPE DE VEGA, comida, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
abad792a-7096-4758-b234-d8f951d1b59d, 2024-10-11, 5.400000, Bona fruta, Fruta, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Contre;Anoux, a46927b9-7da6-440a-bae1-694a13c4cdc2;b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
ac162869-6db8-4b85-92c9-9745f78e6d40, 2024-10-11, 13.500000, Pizzas, Mau, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
8053e304-0ff6-4aa5-8830-2445c0bd27db, 2024-10-10, 105.000000, HUEL, Prote + Barritas, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
3a7038fb-beb8-4c13-8fd1-e1b82e4bbeb0, 2024-10-07, 4.900000, N26, mensual n26, d91fa5b1-3bf9-11ef-b15c-7eec274b3815, Taxes, Anoux, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
b6683c0e-59ce-4666-8a38-901a5a8e96ba, 2024-10-05, 13.600000, Quick greek, Dos pitas, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Contre;Anoux, a46927b9-7da6-440a-bae1-694a13c4cdc2;b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
6e5da1f2-fbec-432a-8d53-abcec9924a49, 2024-10-05, 5.400000, Sensorial cafe, Dos lattes, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
c2e2990f-487b-4186-8e16-8c612a2a411b, 2024-10-04, 11.900000, Vueling, menu Avion, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
2a7fcdc5-055b-4ecd-ad41-f203c4262891, 2024-10-04, 24.400000, LIDL BCN-LOPE DE VEGA, comida, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
e3947d4c-8ef9-4a2c-a8f5-16374bb9231c, 2024-10-03, 55.980000, Amazon, Powebank, d91fa5dc-3bf9-11ef-b15c-7eec274b3815, Technology, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
7435ed79-491c-4e6c-ac2e-19dde391873a, 2024-10-03, 42.000000, Burgerlich, Burgas, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
d5d25772-d2a5-4c3a-9103-388e5113c00c, 2024-10-03, 10.900000, Primaprix, sugar paste y argan oil, d91fa396-3bf9-11ef-b15c-7eec274b3815, Perfume & Hygiene, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
391cf7d1-aa4c-4469-a57d-48e1ce2a2257, 2024-10-03, 33.490000, Mercadona, cositas para cocinar, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
1a110fd8-9682-4172-bc05-b7f07e7302e8, 2024-10-02, 30.460000, LIDL BCN-LOPE DE VEGA, comida, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Contre;Anoux, a46927b9-7da6-440a-bae1-694a13c4cdc2;b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
7a524555-ae64-442f-8f93-042a279cf681, 2024-09-30, 206.260000, Black forest, Black forest, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
4b45b8ef-954c-458f-a58d-7f34cdae8f80, 2024-09-30, 105.250000, Black Forest, Black forest, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
20bdc532-0a48-407c-9641-13cd41f85ae4, 2024-09-27, 9.500000, Bosque negro, Pizza Tarta Alemanen, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
bd81537e-39bf-4df3-b958-69f2dd212a77, 2024-09-27, 154.250000, Bosque negro, Bosque negro, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
bdc63762-c1c6-47b5-a768-364613ba87fb, 2024-09-27, 495.000000, Pilma Barcelona, la carry on mas cara del mundo, c8362a10-99a0-4162-ae8b-c7493c20f05f, Gear, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
b590267e-f292-4232-96a7-6856a5e60198, 2024-09-25, 48.000000, Casa Alfredo, Sorrentinos 8 porciones, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
de41e9c8-f499-440a-b832-204ac2c84489, 2024-09-24, 7.500000, Berlin, Boleto, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
5fda133a-4cfa-41bf-bcca-e0ba442f898b, 2024-09-24, 29.800000, Berlin, comida, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
d8ec2745-5692-4361-89d8-830829fb9c1f, 2024-09-24, 31.600000, Berlin, Desayuno, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
18bc964e-c54d-4738-9831-652b93a14531, 2024-09-24, 61.500000, Energy xxi, Luz, d91fa4d5-3bf9-11ef-b15c-7eec274b3815, Services Luz, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
0e4c338a-c18d-4d4c-bbb7-851dc53e9125, 2024-09-24, 21.600000, Berlin, Merienda, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
dac9e474-777b-49a3-bcb6-2a5d931d340f, 2024-09-24, 50.000000, BICING, pago anual bicing, d91fa68b-3bf9-11ef-b15c-7eec274b3815, Transport, Anoux, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
a09e185d-ee2f-4560-94cc-b834e4a7e6b4, 2024-09-24, 50.000000, BICING, pago anual bicing, d91fa68b-3bf9-11ef-b15c-7eec274b3815, Transport, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
106fb840-624b-4ca2-9eee-287b634e4b54, 2024-09-24, 50.000000, Zweiradperle, Casco perdido, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
4471591f-7d1f-4871-ba0d-76b3a36e83f3, 2024-09-23, 46.000000, Berlin, /new, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
0b481639-92cf-4f8b-82da-45bde030deed, 2024-09-23, 157.000000, Nespresso, Cafetera, d91fa266-3bf9-11ef-b15c-7eec274b3815, Gifts, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
72043f1b-65b1-4e0c-ad5a-0889c4328c07, 2024-09-23, 60.000000, Berlin, Nafta, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
94ea736c-99b1-453e-8623-ba01346f4237, 2024-09-22, 9.800000, SP NATULIM, jabon lavarropas, d91fa318-3bf9-11ef-b15c-7eec274b3815, Home, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
f2dda8a1-32d6-4421-b86a-232008fd19dc, 2024-09-21, 159.370000, Berlin, All things Berlin, d91fa2ee-3bf9-11ef-b15c-7eec274b3815, Holidays, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
87cab34c-d4cf-45db-87a2-f621a5eb94b7, 2024-09-21, 7.800000, Paki, Heladitos, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
30ba0110-2cb9-4a3b-ad1d-d90c942e58cd, 2024-09-20, 10.500000, Cabify, Cabify a lo de Mau, d91fa68b-3bf9-11ef-b15c-7eec274b3815, Transport, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
76ee3cfc-5af1-4f6d-9558-ce6352d6fd69, 2024-09-19, 19.600000, Feceral Cafe, Acai, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
784d1ce0-361f-4622-9319-5c26d8de7a3a, 2024-09-19, 2.560000, Lidl, Agua, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
bf909203-4e47-46e0-96fe-1d173268325d, 2024-09-19, 14.390000, Cabify, Cabify al bar, d91fa68b-3bf9-11ef-b15c-7eec274b3815, Transport, Contre;Anoux, a46927b9-7da6-440a-bae1-694a13c4cdc2;b2f77ba9-c7e2-40dc-abf3-e6748611c3e0
dcf86a07-a1f9-4e56-8905-2cf9d4c67b9d, 2024-09-19, 16.000000, Dana, cena en lo de Dana, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
d0dac750-f052-43d2-acc5-b50b7f1be310, 2024-09-18, 239.950000, Decathlon, Ropa viaje bici, d91f9f1b-3bf9-11ef-b15c-7eec274b3815, Clothing, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
2de3e2f1-956c-4e50-bb90-120cdd04a2cf, 2024-09-16, 1.950000, BICING, Bicing, d91fa68b-3bf9-11ef-b15c-7eec274b3815, Transport, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
386e5253-97c3-4c2c-8106-05348058aab9, 2024-09-16, 7.500000, Abyss, Coffee, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
444adf99-f162-4f62-87be-1d31934a0657, 2024-09-16, 14.000000, Alevibor, Comida ?, d91fa456-3bf9-11ef-b15c-7eec274b3815, Salivery, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
7f05e7c9-e348-4fb2-9345-4443996a9397, 2024-09-15, 26.830000, caprabo, Caprabo, d91fa237-3bf9-11ef-b15c-7eec274b3815, Food, Anoux;Contre, b2f77ba9-c7e2-40dc-abf3-e6748611c3e0;a46927b9-7da6-440a-bae1-694a13c4cdc2
63efc0c1-afe1-42bb-8c13-a9e8e576d10a, 2024-09-15, 108.850000, Emby, Lifetime Emby Premiere, f59caacf-4f3e-4ffc-8606-19304ac76949, Software, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
40a1142b-5485-4c10-b18e-40fc8b16144b, 2024-09-14, 5.990000, Play Store, App CalDav, f59caacf-4f3e-4ffc-8606-19304ac76949, Software, Contre, a46927b9-7da6-440a-bae1-694a13c4cdc2
